id, orig-N, orig-E, orig-time, basic-N, basic-E, basic-time, known-N, known-E, known-time, all_dom-N, all_dom-E, all_dom-time, fast_dom-N, fast_dom-E, fast_dom-time, dom1-N, dom1-E, dom1-time, dom2-N, dom2-E, dom2-time, dom3-N, dom3-E, dom3-time, dom4-N, dom4-E, dom4-time, dom5-N, dom5-E, dom5-time, dom_nca-N, dom_nca-E, dom_nca-time, dom_nca_full-N, dom_nca_full-E, dom_nca_full-time, dom_mixed-N, dom_mixed-E, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-E, dom_mixed_full-time
h_146, 131071, 2322563, 0.00, 130160, 2288810, 0.20, 96678, 1190002, 4.18, 34905, 148820, 28.61, 34934, 149003, 49.90, 37341, 168948, 66.37, 36012, 157923, 83.09, 85560, 892768, 102.81, 86043, 905005, 120.32, 35506, 154325, 127.92, 96659, 1189823, 132.26, 96652, 1189696, 136.69, 95694, 1168351, 142.21, 95680, 1168031, 147.98
h_147, 32768, 2422154, 0.00, 32592, 2418187, 0.11, 32588, 2417389, 1.93, 32588, 2417355, 15.26, 32588, 2417389, 18.43, 32588, 2417389, 20.35, 32588, 2417389, 22.14, 32588, 2417389, 24.24, 32588, 2417389, 26.60, 32588, 2417389, 31.15, 32588, 2417389, 33.60, 32588, 2417355, 39.95, 32588, 2417389, 41.85, 32588, 2417389, 44.31
h_148, 432535, 2038645, 0.00, 408231, 2000993, 0.86, 91817, 336100, 2.60, 91817, 336100, 20.48, 91817, 336100, 22.97, 91817, 336100, 24.71, 91817, 336100, 26.61, 91817, 336100, 28.69, 91817, 336100, 30.78, 91817, 336100, 41.67, 91817, 336100, 43.98, 91817, 336100, 51.04, 91817, 336100, 52.93, 91817, 336100, 55.87
h_149, 131071, 2340382, 0.00, 130213, 2313856, 0.21, 98422, 1235631, 4.25, 35048, 150979, 28.92, 35124, 151462, 51.73, 37285, 169935, 71.93, 36015, 159180, 91.59, 86246, 890964, 119.44, 86864, 911430, 137.64, 35556, 155558, 145.67, 98422, 1235618, 150.31, 98422, 1235606, 154.95, 97552, 1216757, 160.71, 97492, 1215826, 166.73
h_150, 65536, 2456589, 0.00, 65536, 2456589, 0.11, 65536, 2350296, 2.65, 65494, 2336553, 37.25, 65495, 2346664, 50.06, 65510, 2348773, 55.26, 65495, 2347750, 61.40, 65511, 2348573, 67.55, 65517, 2349060, 72.17, 65500, 2348187, 78.79, 65536, 2349254, 84.44, 65536, 2339757, 94.88, 65536, 2350251, 98.40, 65536, 2350263, 103.40
h_151, 65536, 2457973, 0.00, 65536, 2457973, 0.11, 65536, 2351158, 2.84, 65478, 2335265, 37.86, 65479, 2345997, 55.68, 65510, 2349512, 60.84, 65485, 2347671, 66.70, 65489, 2348007, 73.95, 65496, 2348587, 81.20, 65486, 2347897, 89.97, 65536, 2349916, 94.69, 65536, 2339852, 104.37, 65536, 2351089, 108.50, 65536, 2351081, 114.54
h_152, 65536, 2458355, 0.00, 65535, 2458351, 0.13, 65532, 2351854, 2.57, 65456, 2336233, 37.21, 65458, 2346369, 52.77, 65493, 2349712, 57.05, 65466, 2347919, 62.31, 65476, 2348370, 68.95, 65480, 2348698, 75.83, 65463, 2347871, 84.27, 65532, 2350794, 89.29, 65532, 2341364, 97.72, 65532, 2351794, 101.62, 65532, 2351772, 107.01
h_153, 32768, 2554765, 0.00, 32768, 2554765, 0.10, 32768, 2531231, 2.10, 32766, 2530340, 24.62, 32766, 2531048, 29.45, 32768, 2531231, 31.38, 32767, 2531152, 34.00, 32766, 2531048, 37.19, 32767, 2531127, 40.08, 32767, 2531127, 46.62, 32768, 2531231, 48.68, 32768, 2530522, 61.62, 32768, 2531231, 63.47, 32768, 2531231, 66.08
h_154, 32768, 2556720, 0.00, 32768, 2556720, 0.08, 32768, 2533362, 1.53, 32767, 2532371, 88.56, 32767, 2533227, 93.51, 32768, 2533362, 95.11, 32768, 2533362, 96.79, 32767, 2533228, 99.86, 32767, 2533228, 102.95, 32767, 2533228, 109.76, 32768, 2533362, 111.55, 32768, 2532507, 150.77, 32768, 2533361, 152.67, 32768, 2533362, 167.81
h_155, 131071, 2459701, 0.00, 130854, 2457829, 0.23, 130653, 2335334, 4.35, 130306, 2310151, 88.31, 130366, 2325882, 114.90, 130558, 2332618, 122.27, 130436, 2328225, 131.04, 130456, 2328806, 141.16, 130471, 2329701, 152.23, 130383, 2327523, 165.07, 130644, 2334622, 171.54, 130618, 2319975, 195.25, 130653, 2335293, 201.06, 130653, 2335260, 208.46
h_156, 32768, 2558829, 0.00, 32768, 2558829, 0.08, 32768, 2536077, 1.82, 32768, 2535323, 24.71, 32768, 2536076, 28.44, 32768, 2536077, 30.53, 32768, 2536077, 32.47, 32768, 2536077, 34.72, 32768, 2536077, 36.91, 32768, 2536077, 40.95, 32768, 2536076, 43.58, 32768, 2535324, 57.47, 32768, 2536077, 59.28, 32768, 2536077, 62.41
h_157, 281903, 2312497, 0.00, 84913, 797699, 13.60, 25953, 97379, 107.65, 24280, 79786, 206.91, 24498, 80816, 304.30, 24849, 82222, 398.57, 24984, 82751, 489.98, 25705, 96045, 581.21, 25245, 92681, 694.36, 24282, 79803, 915.73, 25735, 96349, 1000.76, 25264, 92922, 1110.40, 25953, 97377, 1193.09, 25851, 96930, 1377.38
