id, orig-N, orig-E, orig-time, basic-N, basic-E, basic-time, known-N, known-E, known-time, all_dom-N, all_dom-E, all_dom-time, fast_dom-N, fast_dom-E, fast_dom-time, dom1-N, dom1-E, dom1-time, dom2-N, dom2-E, dom2-time, dom3-N, dom3-E, dom3-time, dom4-N, dom4-E, dom4-time, dom5-N, dom5-E, dom5-time, dom_nca-N, dom_nca-E, dom_nca-time, dom_nca_full-N, dom_nca_full-E, dom_nca_full-time, dom_mixed-N, dom_mixed-E, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-E, dom_mixed_full-time
e_038, 761, 1496, 0.00, 95, 287, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00
e_039, 928, 2570, 0.00, 363, 1241, 0.00, 30, 88, 0.00, 25, 50, 0.00, 25, 50, 0.00, 25, 50, 0.00, 25, 50, 0.00, 25, 50, 0.00, 25, 50, 0.00, 25, 50, 0.00, 25, 50, 0.00, 25, 50, 0.00, 25, 50, 0.00, 25, 50, 0.00
e_040, 4016, 21948, 0.00, 2044, 11058, 0.00, 269, 975, 0.01, 162, 383, 0.03, 162, 383, 0.04, 162, 383, 0.05, 162, 383, 0.06, 162, 383, 0.07, 162, 383, 0.08, 162, 383, 0.09, 162, 383, 0.10, 162, 383, 0.10, 162, 383, 0.11, 162, 383, 0.12
e_041, 4093, 27082, 0.00, 3679, 25294, 0.00, 2133, 13020, 0.03, 1257, 5184, 0.11, 1257, 5184, 0.19, 1257, 5184, 0.26, 1262, 5204, 0.34, 1257, 5184, 0.42, 1257, 5184, 0.49, 1257, 5184, 0.57, 1257, 5184, 0.65, 1257, 5184, 0.73, 1261, 5226, 0.80, 1257, 5184, 0.88
e_042, 1554, 5013, 0.00, 149, 467, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00
e_043, 1623, 5700, 0.00, 148, 464, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00
e_044, 4044, 23319, 0.00, 2522, 14241, 0.00, 325, 1204, 0.01, 152, 336, 0.02, 152, 336, 0.04, 152, 336, 0.05, 152, 336, 0.06, 152, 336, 0.08, 152, 336, 0.09, 152, 336, 0.10, 152, 336, 0.11, 152, 336, 0.13, 152, 336, 0.14, 152, 336, 0.15
e_045, 4093, 30202, 0.00, 3972, 29576, 0.00, 2816, 19785, 0.03, 1510, 6321, 0.11, 1510, 6321, 0.19, 1510, 6321, 0.28, 1510, 6321, 0.36, 1510, 6321, 0.44, 1510, 6321, 0.53, 1510, 6321, 0.61, 1510, 6321, 0.69, 1510, 6321, 0.77, 1510, 6321, 0.85, 1510, 6321, 0.94
e_046, 948, 2671, 0.00, 316, 1215, 0.00, 50, 180, 0.00, 33, 66, 0.00, 33, 66, 0.01, 33, 66, 0.01, 33, 66, 0.01, 33, 66, 0.01, 33, 66, 0.01, 33, 66, 0.01, 33, 66, 0.01, 33, 66, 0.01, 33, 66, 0.01, 33, 66, 0.01
e_047, 4092, 28612, 0.00, 3827, 27287, 0.00, 2694, 17433, 0.04, 1457, 6186, 0.16, 1457, 6186, 0.28, 1457, 6186, 0.39, 1457, 6186, 0.51, 1457, 6186, 0.63, 1457, 6186, 0.74, 1457, 6186, 0.85, 1457, 6186, 0.99, 1457, 6186, 1.11, 1527, 6447, 1.21, 1457, 6186, 1.33
e_049, 4057, 23857, 0.00, 2960, 18521, 0.00, 842, 4041, 0.02, 525, 1541, 0.06, 525, 1541, 0.10, 529, 1565, 0.13, 526, 1559, 0.17, 525, 1541, 0.21, 525, 1541, 0.24, 525, 1541, 0.28, 525, 1541, 0.32, 525, 1541, 0.36, 529, 1588, 0.40, 525, 1541, 0.43
e_053, 4080, 26872, 0.00, 3677, 25004, 0.00, 518, 2962, 0.02, 213, 454, 0.04, 213, 454, 0.07, 213, 454, 0.09, 213, 454, 0.12, 213, 454, 0.14, 213, 454, 0.16, 213, 454, 0.18, 213, 454, 0.21, 213, 454, 0.23, 213, 454, 0.26, 213, 454, 0.28
e_054, 811, 1951, 0.00, 294, 799, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00
e_055, 3844, 12085, 0.00, 1827, 6679, 0.00, 402, 1386, 0.01, 220, 558, 0.02, 220, 558, 0.03, 220, 558, 0.03, 220, 558, 0.04, 220, 558, 0.05, 220, 558, 0.06, 220, 558, 0.07, 220, 558, 0.08, 220, 558, 0.08, 220, 558, 0.09, 220, 558, 0.10
e_056, 4086, 26915, 0.00, 3721, 25095, 0.00, 540, 3327, 0.01, 237, 588, 0.04, 237, 588, 0.06, 237, 588, 0.08, 237, 588, 0.11, 237, 588, 0.13, 237, 588, 0.16, 237, 588, 0.18, 237, 588, 0.20, 237, 588, 0.22, 237, 588, 0.25, 237, 588, 0.27
e_057, 3847, 12298, 0.00, 1921, 7153, 0.00, 455, 1618, 0.01, 274, 700, 0.02, 274, 700, 0.03, 274, 700, 0.04, 274, 700, 0.05, 274, 700, 0.06, 274, 700, 0.07, 274, 700, 0.08, 274, 700, 0.09, 274, 700, 0.10, 274, 700, 0.11, 274, 700, 0.12
