id, orig-N, orig-M, orig-time, basic-N, basic-M, basic-time, known-N, known-M, known-time, all_dom-N, all_dom-M, all_dom-time, fast_dom-N, fast_dom-M, fast_dom-time, dom12-N, dom12-M, dom12-time, dom3-N, dom3-M, dom3-time, dom4-N, dom4-M, dom4-time, dom5-N, dom5-M, dom5-time, dom_nca-N, dom_nca-M, dom_nca-time, dom_nca_full-N, dom_nca_full-M, dom_nca_full-time, dom_mixed-N, dom_mixed-M, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-M, dom_mixed_full-time
h_171, 131072, 2741624, 0.00, 130027, 2695663, 0.19, 114429, 1720777, 8.35, 59655, 381011, 96.17, 59997, 384689, 175.46, 80859, 738641, 205.91, 84896, 778615, 495.80, 123783, 2447911, 499.81, 62478, 502289, 507.82, 130027, 2695663, 507.99, 129632, 2320164, 510.49, 130027, 2695663, 510.66, 130027, 2695663, 510.84
h_172, 32768, 2840800, 0.00, 29740, 2413360, 1.90, 29740, 2413360, 3.21, 29740, 2413360, 7.11, 29740, 2413360, 9.30, 29740, 2413360, 11.01, 29740, 2413360, 12.18, 29740, 2413360, 13.48, 29740, 2413360, 16.68, 29740, 2413360, 18.02, 29740, 2413360, 19.46, 29740, 2413360, 21.06, 29740, 2413360, 22.13
h_173, 32768, 2843144, 0.00, 29795, 2420962, 1.41, 29795, 2420962, 2.84, 29795, 2420962, 7.60, 29795, 2420962, 9.35, 29795, 2420962, 11.18, 29795, 2420962, 12.52, 29795, 2420962, 13.71, 29795, 2420962, 17.18, 29795, 2420962, 18.59, 29795, 2420962, 20.36, 29795, 2420962, 22.03, 29795, 2420962, 23.41
h_174, 131072, 2754294, 0.00, 130067, 2701388, 0.18, 114972, 1738436, 9.51, 59822, 382961, 111.73, 60163, 386690, 196.80, 80620, 733721, 227.84, 85183, 776290, 446.09, 123536, 2427404, 450.44, 62530, 503902, 458.18, 130067, 2701388, 458.36, 129611, 2336048, 461.97, 130067, 2701388, 462.24, 130067, 2701388, 462.50
h_175, 131072, 2757784, 0.00, 130914, 2754523, 0.20, 129745, 2400417, 7.27, 109381, 1407444, 177.78, 109675, 1419305, 299.83, 117830, 1933061, 319.12, 115250, 1817075, 363.11, 120726, 2175052, 367.64, 110660, 1679243, 381.28, 130914, 2754523, 381.59, 130866, 2438039, 383.88, 130914, 2754523, 384.07, 130914, 2754523, 384.26
h_176, 131072, 2777076, 0.00, 130970, 2775756, 0.18, 129890, 2424988, 8.18, 109384, 1405713, 173.27, 109615, 1416086, 301.37, 117822, 1937314, 319.99, 115257, 1818660, 346.47, 121083, 2212643, 351.24, 110643, 1680244, 365.33, 130970, 2775756, 365.62, 130915, 2456352, 367.97, 130970, 2775756, 368.19, 130970, 2775756, 368.43
h_177, 131072, 2784435, 0.00, 130955, 2781917, 0.18, 129790, 2429818, 7.17, 108882, 1404355, 176.65, 109131, 1416178, 308.77, 117732, 1936028, 330.06, 114837, 1813432, 370.03, 121044, 2221767, 374.87, 110153, 1676122, 387.50, 130955, 2781917, 387.81, 130910, 2463389, 390.56, 130955, 2781917, 390.80, 130955, 2781917, 391.00
h_178, 131072, 2785982, 0.00, 131040, 2785640, 0.18, 130916, 2573723, 4.88, 130246, 2509966, 121.18, 130302, 2545113, 164.99, 130612, 2768831, 168.16, 130540, 2765879, 173.09, 130537, 2766475, 178.09, 130456, 2764231, 185.93, 131040, 2785640, 186.12, 131026, 2601917, 199.35, 131040, 2785640, 199.55, 131040, 2785640, 199.74
h_179, 131072, 2921009, 0.00, 130768, 2907824, 0.19, 119530, 2057654, 6.32, 53179, 308205, 71.47, 53224, 308766, 130.13, 64625, 494019, 151.74, 84012, 738865, 1087.80, 124382, 2656129, 1092.12, 54466, 383746, 1100.02, 130768, 2907824, 1100.20, 130648, 2618930, 1102.72, 130768, 2907824, 1102.91, 130768, 2907824, 1103.10
h_180, 131072, 2949960, 0.00, 131060, 2949843, 0.18, 130986, 2695470, 5.08, 129634, 2627848, 45.55, 129643, 2632512, 74.36, 130046, 2904564, 78.88, 130018, 2903185, 83.93, 129875, 2897336, 88.38, 129648, 2888446, 98.53, 131060, 2949843, 98.73, 131052, 2714782, 100.49, 131060, 2949843, 100.70, 131060, 2949843, 101.00
