id, orig-N, orig-M, orig-time, basic-N, basic-M, basic-time, known-N, known-M, known-time, all_dom-N, all_dom-M, all_dom-time, fast_dom-N, fast_dom-M, fast_dom-time, dom12-N, dom12-M, dom12-time, dom3-N, dom3-M, dom3-time, dom4-N, dom4-M, dom4-time, dom5-N, dom5-M, dom5-time, dom_nca-N, dom_nca-M, dom_nca-time, dom_nca_full-N, dom_nca_full-M, dom_nca_full-time, dom_mixed-N, dom_mixed-M, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-M, dom_mixed_full-time
e_138, 65530, 273310, 0.00, 56569, 229701, 0.05, 14074, 44775, 0.32, 11063, 31280, 0.87, 11063, 31280, 1.52, 11063, 31280, 2.00, 14040, 44660, 2.34, 14040, 44660, 2.67, 11063, 31280, 3.14, 14074, 44775, 3.42, 14074, 44775, 3.70, 14074, 44774, 4.07, 14074, 44774, 4.53
e_139, 65535, 288492, 0.00, 61700, 267847, 0.05, 25698, 93357, 0.45, 17765, 55178, 1.55, 17765, 55178, 2.62, 17765, 55178, 4.08, 25698, 93357, 4.70, 25698, 93357, 5.29, 17765, 55178, 6.74, 25698, 93357, 7.38, 25698, 93357, 7.87, 25698, 93357, 8.26, 25698, 93357, 8.66
e_140, 65522, 273600, 0.00, 56347, 228891, 0.05, 14901, 47577, 0.32, 11297, 31607, 0.95, 11297, 31607, 1.51, 11297, 31607, 2.14, 14900, 47571, 2.52, 14900, 47571, 2.98, 11297, 31607, 3.78, 14901, 47577, 4.21, 14901, 47577, 4.66, 14901, 47577, 5.08, 14901, 47577, 5.52
e_141, 65536, 303686, 0.00, 29924, 105026, 0.27, 29906, 104938, 0.44, 29810, 104540, 0.75, 29903, 104924, 1.10, 29857, 104722, 1.41, 29805, 104556, 1.70, 29751, 104290, 2.00, 29778, 104438, 2.23, 29832, 104652, 2.41, 29748, 104336, 2.61, 29855, 104698, 2.79, 29815, 104596, 3.06
e_142, 65527, 273337, 0.00, 56843, 230657, 0.07, 13916, 44077, 0.53, 10809, 30244, 1.18, 10809, 30244, 1.84, 10809, 30244, 2.61, 13894, 43998, 3.10, 13894, 43998, 3.46, 10809, 30244, 4.04, 13916, 44077, 4.52, 13916, 44077, 4.99, 13916, 44076, 5.32, 13916, 44076, 5.65
e_143, 65536, 303696, 0.00, 29059, 100990, 0.31, 29004, 100762, 0.48, 28983, 100670, 0.77, 28890, 100390, 0.97, 29025, 100848, 1.14, 29029, 100898, 1.31, 29007, 100770, 1.48, 29053, 100970, 1.67, 28884, 100314, 1.84, 28990, 100758, 2.02, 28961, 100608, 2.18, 29021, 100816, 2.35
e_144, 65536, 303996, 0.00, 29782, 104586, 0.28, 29717, 104298, 0.46, 29674, 104156, 0.94, 29717, 104316, 1.29, 29676, 104176, 1.54, 29609, 103854, 1.73, 29691, 104178, 1.92, 29625, 103956, 2.14, 29719, 104320, 2.33, 29642, 103988, 2.54, 29766, 104516, 2.72, 29624, 103932, 2.95
e_145, 2048, 27086, 0.00, 2037, 27060, 0.00, 1994, 23196, 0.02, 1862, 20171, 0.13, 1862, 20191, 0.21, 1862, 20216, 0.27, 1969, 22555, 0.30, 1968, 22523, 0.33, 1862, 20216, 0.39, 1994, 23178, 0.41, 1994, 23160, 0.44, 1994, 23178, 0.47, 1994, 23176, 0.50
e_146, 65532, 288796, 0.00, 61761, 268581, 0.05, 26036, 94451, 0.44, 17413, 53134, 2.06, 17413, 53134, 3.47, 17413, 53134, 4.43, 26036, 94451, 4.98, 26036, 94451, 5.51, 17413, 53134, 6.47, 26036, 94451, 7.09, 26036, 94451, 7.57, 26036, 94451, 8.16, 26036, 94451, 8.64
e_147, 1024, 25052, 0.00, 721, 12910, 0.01, 721, 12910, 0.02, 721, 12910, 0.04, 721, 12910, 0.06, 721, 12910, 0.07, 721, 12910, 0.08, 721, 12910, 0.09, 721, 12910, 0.10, 721, 12910, 0.12, 721, 12910, 0.13, 721, 12910, 0.14, 721, 12910, 0.15
e_148, 2048, 25737, 0.00, 2010, 25512, 0.00, 1921, 21214, 0.04, 1800, 18478, 0.35, 1806, 18901, 0.61, 1826, 19314, 0.72, 1873, 20138, 0.79, 1864, 20044, 0.88, 1804, 18941, 0.99, 1918, 21047, 1.07, 1904, 20517, 1.14, 1921, 21183, 1.21, 1915, 21094, 1.26
e_149, 1024, 3624, 0.00, 400, 1987, 0.00, 392, 1921, 0.00, 389, 1903, 5.45, 392, 1921, 5.45, 392, 1921, 5.45, 392, 1921, 5.45, 392, 1921, 5.48, 392, 1921, 7.63, 392, 1921, 7.63, 389, 1903, 9.01, 392, 1921, 9.01, 392, 1921, 10.01
e_150, 1024, 22042, 0.00, 1024, 22042, 0.00, 1018, 20063, 0.02, 970, 18353, 0.10, 970, 18373, 0.16, 973, 18523, 0.20, 1013, 19859, 0.22, 1013, 19859, 0.24, 971, 18446, 0.31, 1018, 20051, 0.33, 1018, 20023, 0.35, 1018, 20058, 0.36, 1018, 20056, 0.39
e_151, 65534, 653240, 0.00, 65153, 651037, 0.06, 61127, 581170, 0.78, 44733, 305187, 7.55, 44733, 305187, 12.79, 44741, 305356, 17.92, 61023, 579113, 19.37, 61023, 579113, 20.80, 44737, 305299, 23.74, 61127, 581170, 24.43, 61127, 581170, 25.59, 61123, 581061, 26.70, 61123, 581060, 27.94
e_152, 65531, 618237, 0.00, 64757, 613941, 0.07, 59136, 508459, 0.93, 46916, 316924, 6.72, 46917, 316948, 12.04, 46966, 317818, 16.63, 58619, 499486, 18.53, 58618, 499468, 20.29, 46930, 317501, 22.90, 59136, 508459, 23.67, 59136, 508459, 24.50, 59104, 507838, 26.08, 59104, 507834, 27.56
e_153, 2043, 22306, 0.00, 1971, 21826, 0.00, 1881, 18161, 0.04, 1770, 15612, 0.62, 1794, 16789, 0.82, 1812, 17102, 0.92, 1825, 17351, 1.00, 1817, 17207, 1.07, 1787, 16676, 1.16, 1881, 18096, 1.21, 1863, 17154, 1.34, 1875, 18077, 1.39, 1872, 18060, 1.50
e_154, 65536, 653641, 0.00, 65157, 651490, 0.06, 61101, 582135, 0.66, 44975, 308997, 7.74, 44975, 308997, 12.83, 44985, 309178, 17.49, 60948, 579420, 19.35, 60948, 579420, 21.51, 44982, 309143, 25.28, 61101, 582135, 25.94, 61101, 582135, 26.77, 61101, 582074, 27.52, 61101, 582074, 28.65
e_155, 65529, 619239, 0.00, 64752, 614915, 0.06, 58984, 508011, 0.73, 47071, 320780, 6.72, 47074, 320816, 13.50, 47164, 322188, 17.55, 58538, 500534, 19.25, 58538, 500528, 21.43, 47137, 321782, 24.13, 58984, 508010, 24.94, 58984, 508010, 25.79, 58959, 507537, 26.82, 58959, 507538, 28.18
e_156, 65522, 584478, 0.00, 63837, 575281, 0.06, 56009, 438565, 1.32, 45733, 293499, 10.05, 45734, 293530, 15.71, 45853, 295267, 19.98, 55060, 423981, 22.12, 55056, 423903, 24.64, 45808, 294759, 27.41, 56009, 438549, 28.55, 56009, 438537, 29.73, 55892, 437143, 31.40, 55892, 437134, 33.08
e_157, 65536, 652583, 0.00, 65181, 650588, 0.06, 61067, 579859, 0.61, 44909, 306105, 5.67, 44909, 306105, 9.56, 44914, 306222, 13.04, 60937, 577430, 14.37, 60936, 577420, 15.81, 44910, 306164, 18.85, 61067, 579859, 19.82, 61067, 579859, 20.83, 61067, 579803, 21.89, 61067, 579803, 23.01
e_158, 65521, 584837, 0.00, 63834, 575553, 0.06, 55990, 440213, 1.00, 45911, 298034, 9.25, 45936, 298230, 15.69, 46049, 299954, 21.02, 55007, 425206, 22.91, 54996, 425119, 25.41, 45974, 299235, 29.41, 55990, 440203, 30.49, 55975, 440089, 32.11, 55865, 438678, 33.73, 55859, 438590, 35.30
e_159, 65503, 550097, 0.00, 62512, 534038, 0.06, 52301, 374322, 1.15, 43177, 257964, 10.89, 43182, 258132, 19.26, 43442, 261517, 24.77, 50738, 352539, 27.55, 50726, 352391, 31.00, 43339, 260311, 34.02, 52296, 374160, 36.05, 52289, 373995, 37.86, 52066, 371522, 39.63, 52067, 371532, 41.11
e_160, 2048, 32172, 0.00, 1271, 12870, 0.02, 1271, 12870, 0.03, 1271, 12870, 0.05, 1271, 12870, 0.07, 1271, 12870, 0.08, 1271, 12870, 0.09, 1271, 12870, 0.10, 1271, 12870, 0.11, 1271, 12870, 0.12, 1271, 12870, 0.14, 1271, 12870, 0.15, 1271, 12870, 0.16
e_161, 2048, 28713, 0.00, 2042, 28658, 0.00, 1987, 25450, 0.02, 1815, 21206, 0.12, 1815, 21208, 0.19, 1816, 21251, 0.24, 1970, 24986, 0.28, 1970, 24986, 0.32, 1815, 21218, 0.37, 1987, 25447, 0.40, 1987, 25445, 0.42, 1987, 25444, 0.44, 1987, 25444, 0.46
e_162, 131066, 573836, 0.00, 123407, 533092, 0.15, 48574, 174279, 1.11, 33641, 102880, 4.63, 33641, 102880, 8.14, 33641, 102880, 11.60, 48574, 174279, 12.70, 48574, 174279, 13.73, 33641, 102880, 16.91, 48574, 174279, 17.87, 48574, 174279, 18.84, 48574, 174279, 19.75, 48574, 174279, 20.69
e_163, 131067, 574081, 0.00, 123088, 530853, 0.10, 49103, 175843, 1.31, 35070, 106913, 3.82, 35070, 106913, 7.06, 35070, 106913, 9.71, 49102, 175835, 11.02, 49102, 175835, 12.73, 35070, 106913, 15.85, 49103, 175843, 17.63, 49103, 175843, 19.23, 49103, 175843, 20.86, 49103, 175843, 22.64
e_164, 65497, 549544, 0.00, 62806, 534981, 0.06, 52341, 373712, 1.11, 43635, 261970, 11.69, 43665, 262327, 20.09, 43956, 265790, 25.16, 50877, 352993, 27.52, 50867, 352888, 29.75, 43806, 264386, 32.52, 52337, 373587, 34.42, 52325, 373356, 35.88, 52174, 371524, 37.30, 52174, 371485, 38.98
